0; Bruno Cardoso; azul; 1385471680667
101; Ricardo Cardoso; verde; 1385471680669
102; Miguel Carvalho; laranja; 1385471680669
103; Bruno Costa; laranja; 1385471680669
104; Bruno Carvalho; azul; 1385471680669
105; Bruno Costa; azul; 1385471680669
106; Jos� Cardoso; laranja; 1385471680669
107; Nick Cardoso; azul; 1385471680669
108; Miguel Carvalho; amarelo; 1385471680669
109; Miguel Neves; azul; 1385471680669
110; Jo�o Delgado; azul; 1385471680669
111; Bruno Neves; laranja; 1385471680669
112; Jos� Delgado; laranja; 1385471680669
113; Bruno Neves; vermelho; 1385471680669
114; Bruno Delgado; vermelho; 1385471680669
115; Bruno Carvalho; amarelo; 1385471680669
116; Ricardo Cardoso; amarelo; 1385471680669
117; Jos� Neves; verde; 1385471680669
118; Jo�o Costa; vermelho; 1385471680669
119; Ricardo Cardoso; azul; 1385471680669
120; Ricardo Carvalho; laranja; 1385471680669
121; Ricardo Cardoso; amarelo; 1385471680669
122; Bruno Costa; azul; 1385471680669
123; Miguel Carvalho; laranja; 1385471680669
124; Bruno Cardoso; vermelho; 1385471680669
125; Jo�o Neves; verde; 1385471680669
126; Jos� Carvalho; vermelho; 1385471680669
127; Ricardo Delgado; azul; 1385471680669
128; Jos� Costa; laranja; 1385471680669
129; Miguel Carvalho; verde; 1385471680669
130; Jo�o Carvalho; vermelho; 1385471680669
131; Jos� Cardoso; amarelo; 1385471680669
132; Jo�o Carvalho; verde; 1385471680669
133; Jos� Cardoso; amarelo; 1385471680669
134; Jos� Carvalho; azul; 1385471680669
135; Jos� Cardoso; amarelo; 1385471680669
136; Bruno Delgado; laranja; 1385471680669
137; Miguel Delgado; amarelo; 1385471680669
138; Nick Cardoso; vermelho; 1385471680669
139; Nick Delgado; amarelo; 1385471680669
140; Bruno Costa; verde; 1385471680669
141; Ricardo Cardoso; azul; 1385471680669
142; Bruno Delgado; azul; 1385471680669
143; Nick Carvalho; verde; 1385471680669
144; Ricardo Delgado; vermelho; 1385471680669
145; Ricardo Carvalho; vermelho; 1385471680669
146; Miguel Cardoso; vermelho; 1385471680669
147; Jos� Delgado; azul; 1385471680669
148; Nick Costa; amarelo; 1385471680669
149; Miguel Carvalho; azul; 1385471680669
150; Ricardo Neves; vermelho; 1385471680669
151; Ricardo Costa; vermelho; 1385471680669
152; Jos� Carvalho; azul; 1385471680669
153; Jo�o Neves; laranja; 1385471680669
154; Ricardo Carvalho; verde; 1385471680669
155; Miguel Carvalho; verde; 1385471680669
156; Jo�o Costa; azul; 1385471680670
157; Jos� Carvalho; vermelho; 1385471680670
158; Jos� Costa; amarelo; 1385471680670
159; Bruno Costa; verde; 1385471680670
160; Jos� Costa; amarelo; 1385471680670
161; Bruno Cardoso; verde; 1385471680670
162; Nick Cardoso; amarelo; 1385471680670
163; Bruno Delgado; laranja; 1385471680670
164; Nick Neves; verde; 1385471680670
165; Miguel Neves; azul; 1385471680670
166; Nick Neves; azul; 1385471680670
167; Miguel Neves; verde; 1385471680670
168; Ricardo Delgado; verde; 1385471680670
169; Jos� Delgado; verde; 1385471680670
170; Nick Carvalho; azul; 1385471680670
171; Jo�o Cardoso; vermelho; 1385471680670
172; Jo�o Carvalho; vermelho; 1385471680670
173; Ricardo Neves; azul; 1385471680670
174; Miguel Costa; verde; 1385471680670
175; Ricardo Delgado; laranja; 1385471680670
176; Jos� Costa; laranja; 1385471680670
177; Bruno Carvalho; azul; 1385471680670
178; Bruno Neves; vermelho; 1385471680670
179; Jo�o Carvalho; azul; 1385471680670
180; Jo�o Costa; vermelho; 1385471680670
181; Bruno Costa; azul; 1385471680670
182; Miguel Delgado; amarelo; 1385471680670
183; Nick Carvalho; azul; 1385471680670
184; Bruno Neves; laranja; 1385471680670
185; Nick Neves; azul; 1385471680670
186; Jo�o Delgado; vermelho; 1385471680670
187; Miguel Carvalho; azul; 1385471680670
188; Ricardo Delgado; verde; 1385471680670
189; Nick Delgado; vermelho; 1385471680670
190; Nick Costa; laranja; 1385471680670
191; Jos� Delgado; verde; 1385471680670
192; Ricardo Delgado; amarelo; 1385471680670
193; Nick Cardoso; verde; 1385471680670
194; Jo�o Carvalho; laranja; 1385471680670
195; Bruno Carvalho; azul; 1385471680670
196; Jo�o Carvalho; laranja; 1385471680670
197; Nick Cardoso; azul; 1385471680670
198; Bruno Delgado; vermelho; 1385471680670
199; Jo�o Cardoso; laranja; 1385471680670
200; Jos� Neves; vermelho; 1385471680670
201; Jo�o Delgado; verde; 1385471680671
202; Jos� Cardoso; vermelho; 1385471680671
203; Bruno Costa; azul; 1385471680671
204; Jos� Carvalho; azul; 1385471680671
205; Nick Carvalho; laranja; 1385471680671
206; Bruno Delgado; amarelo; 1385471680671
207; Jos� Delgado; amarelo; 1385471680671
208; Jo�o Cardoso; vermelho; 1385471680671
209; Jos� Delgado; amarelo; 1385471680671
210; Nick Cardoso; laranja; 1385471680671
211; Bruno Neves; laranja; 1385471680671
212; Ricardo Delgado; laranja; 1385471680671
213; Jo�o Cardoso; amarelo; 1385471680671
214; Jo�o Costa; amarelo; 1385471680671
215; Nick Carvalho; azul; 1385471680671
216; Miguel Neves; azul; 1385471680671
217; Jos� Costa; verde; 1385471680671
218; Miguel Neves; azul; 1385471680671
219; Bruno Cardoso; amarelo; 1385471680671
220; Ricardo Neves; amarelo; 1385471680671
221; Ricardo Delgado; vermelho; 1385471680671
222; Nick Neves; amarelo; 1385471680671
223; Ricardo Costa; azul; 1385471680671
224; Ricardo Carvalho; laranja; 1385471680671
225; Jos� Cardoso; azul; 1385471680671
226; Miguel Costa; verde; 1385471680671
227; Jos� Cardoso; azul; 1385471680671
228; Ricardo Neves; azul; 1385471680671
229; Bruno Delgado; verde; 1385471680671
230; Jo�o Cardoso; vermelho; 1385471680671
231; Miguel Carvalho; amarelo; 1385471680671
232; Nick Cardoso; verde; 1385471680671
233; Jos� Cardoso; amarelo; 1385471680671
234; Nick Neves; azul; 1385471680671
235; Ricardo Carvalho; laranja; 1385471680671
236; Jos� Carvalho; laranja; 1385471680671
237; Jo�o Neves; vermelho; 1385471680671
238; Jo�o Cardoso; laranja; 1385471680671
239; Jos� Cardoso; azul; 1385471680671
240; Jo�o Carvalho; vermelho; 1385471680671
241; Jo�o Cardoso; vermelho; 1385471680671
242; Bruno Cardoso; azul; 1385471680671
243; Jos� Neves; azul; 1385471680671
244; Bruno Cardoso; azul; 1385471680671
245; Jo�o Carvalho; laranja; 1385471680671
246; Nick Costa; verde; 1385471680671
247; Nick Costa; vermelho; 1385471680671
248; Nick Costa; verde; 1385471680671
249; Ricardo Carvalho; vermelho; 1385471680671
250; Bruno Carvalho; vermelho; 1385471680671
251; Jo�o Carvalho; amarelo; 1385471680671
252; Jos� Carvalho; laranja; 1385471680671
253; Jo�o Carvalho; vermelho; 1385471680671
254; Nick Cardoso; vermelho; 1385471680671
255; Jos� Carvalho; vermelho; 1385471680671
256; Jos� Costa; azul; 1385471680671
257; Ricardo Cardoso; verde; 1385471680671
258; Nick Cardoso; laranja; 1385471680671
259; Jos� Delgado; amarelo; 1385471680671
260; Bruno Delgado; amarelo; 1385471680672
261; Miguel Costa; vermelho; 1385471680672
262; Jo�o Costa; verde; 1385471680672
263; Nick Costa; laranja; 1385471680672
264; Miguel Cardoso; laranja; 1385471680672
265; Nick Costa; verde; 1385471680672
266; Ricardo Cardoso; vermelho; 1385471680672
267; Ricardo Carvalho; vermelho; 1385471680672
268; Ricardo Costa; vermelho; 1385471680672
269; Miguel Delgado; vermelho; 1385471680672
270; Nick Carvalho; vermelho; 1385471680672
271; Jo�o Carvalho; verde; 1385471680672
272; Bruno Carvalho; laranja; 1385471680672
273; Jos� Carvalho; vermelho; 1385471680672
274; Jo�o Carvalho; laranja; 1385471680672
275; Jos� Carvalho; verde; 1385471680672
276; Bruno Costa; laranja; 1385471680672
277; Ricardo Costa; laranja; 1385471680672
278; Jo�o Costa; amarelo; 1385471680672
279; Jos� Costa; amarelo; 1385471680672
280; Ricardo Cardoso; azul; 1385471680672
281; Bruno Costa; azul; 1385471680672
282; Jos� Costa; laranja; 1385471680672
283; Jo�o Neves; amarelo; 1385471680672
284; Jo�o Neves; vermelho; 1385471680672
285; Bruno Costa; vermelho; 1385471680672
286; Bruno Delgado; azul; 1385471680672
287; Jos� Carvalho; amarelo; 1385471680672
288; Ricardo Carvalho; vermelho; 1385471680672
289; Ricardo Carvalho; amarelo; 1385471680672
290; Ricardo Neves; azul; 1385471680672
291; Miguel Delgado; verde; 1385471680672
292; Jo�o Carvalho; amarelo; 1385471680672
293; Bruno Carvalho; laranja; 1385471680672
294; Bruno Neves; azul; 1385471680672
295; Nick Carvalho; vermelho; 1385471680672
296; Jo�o Delgado; azul; 1385471680672
297; Ricardo Carvalho; amarelo; 1385471680672
298; Miguel Neves; amarelo; 1385471680672
299; Ricardo Costa; verde; 1385471680672
300; Nick Cardoso; amarelo; 1385471680672
301; Bruno Costa; verde; 1385471680672
302; Nick Cardoso; vermelho; 1385471680672
303; Jos� Cardoso; verde; 1385471680672
304; Jos� Carvalho; verde; 1385471680672
305; Bruno Cardoso; laranja; 1385471680672
306; Miguel Neves; laranja; 1385471680673
307; Miguel Cardoso; verde; 1385471680673
308; Miguel Costa; azul; 1385471680673
309; Miguel Carvalho; azul; 1385471680673
310; Bruno Costa; azul; 1385471680673
311; Ricardo Cardoso; vermelho; 1385471680673
312; Jo�o Costa; laranja; 1385471680673
313; Miguel Cardoso; azul; 1385471680673
314; Ricardo Costa; amarelo; 1385471680673
315; Nick Cardoso; amarelo; 1385471680673
316; Nick Cardoso; laranja; 1385471680673
317; Nick Carvalho; laranja; 1385471680673
318; Nick Delgado; verde; 1385471680673
319; Ricardo Delgado; verde; 1385471680673
320; Miguel Neves; laranja; 1385471680673
321; Ricardo Neves; laranja; 1385471680673
322; Jo�o Carvalho; vermelho; 1385471680673
323; Bruno Costa; verde; 1385471680673
324; Ricardo Carvalho; laranja; 1385471680673
325; Nick Cardoso; azul; 1385471680673
326; Jo�o Delgado; laranja; 1385471680673
327; Nick Delgado; amarelo; 1385471680673
328; Miguel Delgado; amarelo; 1385471680673
329; Jo�o Neves; amarelo; 1385471680673
330; Ricardo Neves; verde; 1385471680673
331; Nick Costa; amarelo; 1385471680673
332; Ricardo Neves; azul; 1385471680673
333; Miguel Costa; vermelho; 1385471680673
334; Miguel Neves; vermelho; 1385471680673
335; Jo�o Costa; amarelo; 1385471680673
336; Ricardo Costa; azul; 1385471680673
337; Bruno Costa; amarelo; 1385471680673
338; Miguel Costa; amarelo; 1385471680673
339; Bruno Carvalho; verde; 1385471680673
340; Jo�o Carvalho; verde; 1385471680673
341; Miguel Neves; vermelho; 1385471680673
342; Jo�o Costa; verde; 1385471680673
343; Bruno Delgado; verde; 1385471680673
344; Jos� Cardoso; amarelo; 1385471680673
345; Nick Neves; amarelo; 1385471680673
346; Ricardo Delgado; vermelho; 1385471680673
347; Jo�o Delgado; verde; 1385471680673
348; Nick Costa; vermelho; 1385471680673
349; Bruno Neves; amarelo; 1385471680673
350; Miguel Neves; amarelo; 1385471680673
351; Miguel Cardoso; amarelo; 1385471680673
352; Miguel Neves; azul; 1385471680673
353; Jo�o Cardoso; amarelo; 1385471680673
354; Nick Cardoso; verde; 1385471680673
355; Ricardo Cardoso; vermelho; 1385471680673
356; Jo�o Neves; verde; 1385471680673
357; Jo�o Delgado; verde; 1385471680673
358; Jo�o Carvalho; azul; 1385471680673
359; Jos� Neves; amarelo; 1385471680673
360; Nick Neves; amarelo; 1385471680674
361; Nick Carvalho; verde; 1385471680674
362; Ricardo Costa; laranja; 1385471680674
363; Jo�o Cardoso; vermelho; 1385471680674
364; Jos� Cardoso; verde; 1385471680674
365; Nick Carvalho; vermelho; 1385471680674
366; Ricardo Costa; verde; 1385471680674
367; Nick Cardoso; laranja; 1385471680674
368; Nick Delgado; azul; 1385471680674
369; Bruno Carvalho; verde; 1385471680674
370; Bruno Costa; verde; 1385471680674
371; Ricardo Neves; laranja; 1385471680674
372; Jo�o Delgado; amarelo; 1385471680674
373; Bruno Delgado; vermelho; 1385471680674
374; Jo�o Delgado; vermelho; 1385471680674
375; Jo�o Neves; vermelho; 1385471680674
376; Miguel Carvalho; laranja; 1385471680674
377; Jos� Delgado; vermelho; 1385471680674
378; Bruno Costa; vermelho; 1385471680674
379; Miguel Carvalho; amarelo; 1385471680674
380; Jos� Carvalho; azul; 1385471680674
381; Jo�o Carvalho; laranja; 1385471680674
382; Nick Delgado; amarelo; 1385471680674
383; Jo�o Carvalho; laranja; 1385471680674
384; Miguel Costa; amarelo; 1385471680674
385; Miguel Costa; laranja; 1385471680674
386; Bruno Cardoso; azul; 1385471680674
387; Bruno Carvalho; laranja; 1385471680674
388; Bruno Costa; amarelo; 1385471680674
389; Ricardo Cardoso; verde; 1385471680674
390; Jos� Carvalho; azul; 1385471680674
391; Jo�o Carvalho; verde; 1385471680674
392; Bruno Neves; vermelho; 1385471680674
393; Jos� Cardoso; azul; 1385471680674
394; Miguel Carvalho; verde; 1385471680674
395; Bruno Neves; amarelo; 1385471680674
396; Ricardo Costa; verde; 1385471680674
397; Nick Costa; laranja; 1385471680675
398; Jos� Costa; azul; 1385471680675
399; Jo�o Carvalho; verde; 1385471680675
400; Bruno Cardoso; azul; 1385471680675
401; Bruno Costa; amarelo; 1385471680675
402; Miguel Delgado; azul; 1385471680675
403; Ricardo Costa; amarelo; 1385471680675
404; Jos� Costa; laranja; 1385471680675
405; Bruno Neves; azul; 1385471680675
406; Nick Costa; verde; 1385471680675
407; Jo�o Neves; amarelo; 1385471680675
408; Miguel Carvalho; verde; 1385471680675
409; Miguel Carvalho; verde; 1385471680675
410; Jo�o Neves; laranja; 1385471680675
411; Ricardo Neves; amarelo; 1385471680675
412; Ricardo Delgado; azul; 1385471680675
413; Jos� Neves; azul; 1385471680675
414; Jo�o Neves; laranja; 1385471680675
415; Jo�o Neves; vermelho; 1385471680675
416; Bruno Delgado; verde; 1385471680675
417; Bruno Carvalho; amarelo; 1385471680675
418; Jos� Costa; azul; 1385471680675
419; Jo�o Delgado; verde; 1385471680675
420; Jo�o Neves; amarelo; 1385471680675
421; Nick Carvalho; laranja; 1385471680675
422; Jo�o Cardoso; laranja; 1385471680675
423; Ricardo Carvalho; azul; 1385471680675
424; Ricardo Cardoso; azul; 1385471680675
425; Bruno Carvalho; azul; 1385471680675
426; Jo�o Delgado; azul; 1385471680675
427; Ricardo Delgado; laranja; 1385471680675
428; Bruno Carvalho; azul; 1385471680675
429; Nick Costa; amarelo; 1385471680675
430; Jo�o Costa; azul; 1385471680675
431; Jos� Carvalho; verde; 1385471680675
432; Ricardo Cardoso; azul; 1385471680675
433; Bruno Costa; azul; 1385471680675
434; Ricardo Costa; verde; 1385471680675
435; Miguel Delgado; verde; 1385471680675
436; Miguel Neves; verde; 1385471680675
437; Jos� Neves; amarelo; 1385471680675
438; Bruno Carvalho; azul; 1385471680675
439; Ricardo Neves; laranja; 1385471680675
440; Ricardo Neves; verde; 1385471680675
441; Jo�o Delgado; laranja; 1385471680675
442; Jos� Neves; amarelo; 1385471680675
443; Nick Cardoso; laranja; 1385471680676
444; Miguel Carvalho; verde; 1385471680676
445; Jos� Cardoso; verde; 1385471680676
446; Nick Cardoso; laranja; 1385471680676
447; Nick Costa; vermelho; 1385471680676
448; Ricardo Cardoso; azul; 1385471680676
449; Ricardo Carvalho; laranja; 1385471680676
450; Jos� Neves; laranja; 1385471680676
451; Nick Costa; azul; 1385471680676
452; Ricardo Delgado; laranja; 1385471680676
453; Bruno Delgado; verde; 1385471680676
454; Jos� Cardoso; amarelo; 1385471680676
455; Jos� Carvalho; laranja; 1385471680676
456; Bruno Neves; laranja; 1385471680676
457; Ricardo Costa; laranja; 1385471680676
458; Miguel Cardoso; azul; 1385471680676
459; Bruno Carvalho; vermelho; 1385471680676
460; Jos� Carvalho; azul; 1385471680676
461; Ricardo Neves; laranja; 1385471680676
462; Bruno Costa; verde; 1385471680676
463; Jos� Neves; azul; 1385471680676
464; Miguel Cardoso; amarelo; 1385471680676
465; Jo�o Neves; amarelo; 1385471680676
466; Nick Costa; verde; 1385471680676
467; Bruno Cardoso; vermelho; 1385471680676
468; Bruno Cardoso; laranja; 1385471680676
469; Jos� Costa; vermelho; 1385471680676
470; Ricardo Cardoso; amarelo; 1385471680676
471; Jo�o Delgado; azul; 1385471680676
472; Jos� Carvalho; amarelo; 1385471680676
473; Nick Neves; laranja; 1385471680676
474; Nick Neves; amarelo; 1385471680676
475; Ricardo Cardoso; vermelho; 1385471680676
476; Nick Carvalho; vermelho; 1385471680676
477; Bruno Neves; amarelo; 1385471680676
478; Ricardo Delgado; vermelho; 1385471680676
479; Ricardo Costa; laranja; 1385471680676
480; Miguel Cardoso; laranja; 1385471680676
481; Jo�o Carvalho; azul; 1385471680676
482; Bruno Costa; vermelho; 1385471680676
483; Bruno Neves; laranja; 1385471680676
484; Jos� Carvalho; verde; 1385471680676
485; Jos� Delgado; laranja; 1385471680676
486; Bruno Delgado; vermelho; 1385471680676
487; Ricardo Delgado; amarelo; 1385471680676
488; Bruno Carvalho; azul; 1385471680676
489; Nick Delgado; amarelo; 1385471680676
490; Jos� Carvalho; azul; 1385471680677
491; Jos� Cardoso; vermelho; 1385471680677
492; Nick Cardoso; amarelo; 1385471680677
493; Bruno Carvalho; verde; 1385471680677
494; Ricardo Costa; amarelo; 1385471680677
495; Jo�o Delgado; vermelho; 1385471680677
496; Jos� Neves; azul; 1385471680677
497; Nick Costa; laranja; 1385471680677
498; Jos� Neves; vermelho; 1385471680677
499; Miguel Costa; vermelho; 1385471680677
500; Miguel Carvalho; laranja; 1385471680677
501; Ricardo Cardoso; azul; 1385471680677
502; Jo�o Carvalho; azul; 1385471680677
503; Jos� Carvalho; verde; 1385471680677
504; Jos� Costa; azul; 1385471680677
505; Jo�o Delgado; verde; 1385471680677
506; Nick Neves; verde; 1385471680677
507; Jos� Neves; vermelho; 1385471680677
508; Jo�o Cardoso; laranja; 1385471680677
509; Jo�o Carvalho; verde; 1385471680677
510; Miguel Delgado; vermelho; 1385471680677
511; Jos� Cardoso; azul; 1385471680677
512; Jo�o Cardoso; verde; 1385471680677
513; Jos� Neves; laranja; 1385471680677
514; Nick Costa; azul; 1385471680677
515; Jo�o Delgado; azul; 1385471680677
516; Jo�o Carvalho; verde; 1385471680677
517; Jo�o Delgado; azul; 1385471680677
518; Miguel Neves; verde; 1385471680677
519; Jos� Cardoso; verde; 1385471680677
520; Jo�o Carvalho; amarelo; 1385471680677
521; Jo�o Costa; azul; 1385471680677
522; Miguel Neves; azul; 1385471680677
523; Nick Delgado; azul; 1385471680677
524; Miguel Cardoso; amarelo; 1385471680677
525; Ricardo Neves; vermelho; 1385471680677
526; Miguel Cardoso; amarelo; 1385471680677
527; Jos� Cardoso; vermelho; 1385471680677
528; Nick Carvalho; amarelo; 1385471680677
529; Nick Carvalho; verde; 1385471680677
530; Nick Neves; laranja; 1385471680677
531; Nick Neves; vermelho; 1385471680677
532; Miguel Delgado; verde; 1385471680677
533; Bruno Neves; verde; 1385471680677
534; Jo�o Cardoso; azul; 1385471680677
535; Nick Neves; vermelho; 1385471680677
536; Ricardo Cardoso; amarelo; 1385471680677
537; Ricardo Neves; vermelho; 1385471680678
538; Bruno Carvalho; laranja; 1385471680678
539; Nick Cardoso; verde; 1385471680678
540; Jos� Costa; verde; 1385471680678
541; Nick Carvalho; vermelho; 1385471680678
542; Jo�o Delgado; laranja; 1385471680678
543; Miguel Neves; vermelho; 1385471680678
544; Jos� Carvalho; laranja; 1385471680678
545; Bruno Cardoso; azul; 1385471680678
546; Jo�o Carvalho; laranja; 1385471680678
547; Bruno Cardoso; amarelo; 1385471680678
548; Nick Neves; azul; 1385471680678
549; Nick Neves; laranja; 1385471680678
550; Jos� Neves; verde; 1385471680678
551; Nick Neves; verde; 1385471680678
552; Miguel Cardoso; vermelho; 1385471680678
553; Jos� Costa; vermelho; 1385471680678
554; Miguel Cardoso; azul; 1385471680678
555; Ricardo Costa; verde; 1385471680678
556; Miguel Delgado; verde; 1385471680678
557; Jos� Neves; amarelo; 1385471680678
558; Bruno Neves; azul; 1385471680678
559; Bruno Delgado; vermelho; 1385471680678
560; Ricardo Carvalho; vermelho; 1385471680678
561; Nick Delgado; verde; 1385471680678
562; Nick Neves; azul; 1385471680678
563; Bruno Costa; laranja; 1385471680678
564; Nick Costa; laranja; 1385471680678
565; Jos� Delgado; vermelho; 1385471680678
566; Bruno Neves; amarelo; 1385471680678
567; Ricardo Carvalho; verde; 1385471680678
568; Jo�o Costa; laranja; 1385471680678
569; Miguel Delgado; amarelo; 1385471680678
570; Jos� Carvalho; laranja; 1385471680678
571; Ricardo Neves; amarelo; 1385471680678
572; Miguel Neves; azul; 1385471680678
573; Nick Neves; laranja; 1385471680678
574; Jos� Delgado; verde; 1385471680678
575; Ricardo Cardoso; azul; 1385471680678
576; Jo�o Carvalho; laranja; 1385471680678
577; Nick Carvalho; vermelho; 1385471680678
578; Ricardo Carvalho; verde; 1385471680678
579; Ricardo Cardoso; amarelo; 1385471680678
580; Bruno Delgado; laranja; 1385471680678
581; Ricardo Costa; verde; 1385471680678
582; Nick Carvalho; azul; 1385471680678
583; Nick Neves; vermelho; 1385471680678
584; Jos� Costa; vermelho; 1385471680678
585; Miguel Neves; verde; 1385471680678
586; Miguel Carvalho; laranja; 1385471680678
587; Bruno Costa; laranja; 1385471680678
588; Bruno Delgado; vermelho; 1385471680678
589; Miguel Neves; amarelo; 1385471680678
590; Jo�o Carvalho; vermelho; 1385471680678
591; Jo�o Neves; verde; 1385471680678
592; Jos� Cardoso; laranja; 1385471680678
593; Ricardo Neves; vermelho; 1385471680678
594; Miguel Costa; amarelo; 1385471680678
595; Jo�o Carvalho; vermelho; 1385471680679
596; Ricardo Costa; laranja; 1385471680679
597; Bruno Delgado; vermelho; 1385471680679
598; Jo�o Delgado; amarelo; 1385471680679
599; Bruno Carvalho; azul; 1385471680679
600; Jo�o Delgado; azul; 1385471680679
601; Jos� Carvalho; amarelo; 1385471680679
602; Nick Cardoso; verde; 1385471680679
603; Bruno Delgado; amarelo; 1385471680679
604; Jos� Carvalho; azul; 1385471680679
605; Jo�o Carvalho; verde; 1385471680679
606; Miguel Neves; verde; 1385471680679
607; Jos� Delgado; vermelho; 1385471680679
608; Miguel Cardoso; verde; 1385471680679
609; Bruno Carvalho; vermelho; 1385471680679
610; Jos� Cardoso; laranja; 1385471680679
611; Jo�o Delgado; laranja; 1385471680679
612; Jos� Carvalho; verde; 1385471680679
613; Bruno Carvalho; amarelo; 1385471680679
614; Miguel Cardoso; vermelho; 1385471680679
615; Nick Neves; laranja; 1385471680679
616; Bruno Neves; amarelo; 1385471680679
617; Bruno Delgado; amarelo; 1385471680679
618; Jo�o Delgado; laranja; 1385471680679
619; Miguel Delgado; verde; 1385471680679
620; Ricardo Cardoso; azul; 1385471680679
621; Bruno Costa; amarelo; 1385471680679
622; Nick Costa; verde; 1385471680679
623; Miguel Carvalho; verde; 1385471680679
624; Nick Cardoso; azul; 1385471680679
625; Ricardo Cardoso; azul; 1385471680679
626; Nick Costa; amarelo; 1385471680679
627; Miguel Delgado; azul; 1385471680679
628; Jo�o Carvalho; vermelho; 1385471680679
629; Jo�o Costa; azul; 1385471680679
